source_id,title,organization_or_authors,source_type,version_or_date,url,access_date,primary_use,credibility,known_limit
ALE-01,Agents' Last Exam,ALE authors,Paper,arXiv v2 2026-06-11,https://arxiv.org/abs/2606.05405v2,2026-08-09,"unit ledger; inventory; production stages",High,"first-party; inventory contains pending QC"
ALE-02,ALE frozen code,RDI Berkeley,Code,1e615e456de7cef57706680613cb80ee13c7fc76,https://github.com/rdi-berkeley/agents-last-exam/tree/1e615e456de7cef57706680613cb80ee13c7fc76,2026-08-09,"runnable contract; hidden reference; evaluator revision",Very high,"implementation does not prove construct validity"
ALE-03,ALE task-card metadata,Agents Last Exam,Dataset README,a8c1fd174a1f6cfa76526572a2e3ebece1276be2,https://huggingface.co/datasets/agents-last-exam/agents-last-exam/blob/a8c1fd174a1f6cfa76526572a2e3ebece1276be2/README.md,2026-08-09,"153-row metadata surface",High,"metadata only"
ADJ-01,OSWorld,OSWorld authors,Paper,arXiv v2 2024-05-30,https://arxiv.org/abs/2404.07972v2,2026-08-09,"resettable state; execution evaluation",High,"narrower scope than ALE"
ADJ-02,SWE-bench and evaluator audit,SWE-bench authors and OpenAI,Paper code audit,2024-11-11 and 2026-07-08,https://openai.com/index/separating-signal-from-noise-coding-evaluations/,2026-08-09,"evaluator validity; alternate-valid solutions",Medium-high,"audit rate is surface-specific vendor research"
ADJ-03,AI Agents That Matter,Kapoor et al.,Paper,arXiv v1 2024-07-01,https://arxiv.org/abs/2407.01502v1,2026-08-09,"configuration; cost; holdout; reproducibility",Medium-high,"normative analysis rather than production SOP"
ADJ-04,BetterBench,BetterBench authors,Proceedings paper,NeurIPS 2024,https://proceedings.neurips.cc/paper_files/paper/2024/hash/26889e8359e7ef8a7f5d77457364ca55-Abstract-Datasets_and_Benchmarks_Track.html,2026-08-09,"benchmark lifecycle",High,"not agent-specific; count surfaces conflict"
GOV-01,NIST AI 800-2,NIST CAISI,Initial public draft,2026-01-30 updated 2026-02-10,https://www.nist.gov/news-events/news/2026/01/towards-best-practices-automated-benchmark-evaluations,2026-08-09,"objectives; implementation; reporting",High,"preliminary voluntary guidance"
STAT-01,NIST AI 800-3,NIST CAISI and ITL,Report,2026-02-19,https://www.nist.gov/news-events/news/2026/02/new-report-expanding-ai-evaluation-toolbox-statistical-models,2026-08-09,"estimands; uncertainty; task heterogeneity",High,"model choice remains project-specific"
SEC-01,Cheating on AI Agent Evaluations,NIST CAISI,Practice note,2025-12-02,https://www.nist.gov/caisi/cheating-ai-agent-evaluations,2026-08-09,"leakage; grader gaming; trace review",High,"preliminary; coding and cyber concentrated"
HUM-01,Task-Completion Time Horizons 1.1,METR,Method page,updated 2026-05-08,https://metr.org/time-horizons/,2026-08-09,"matched human; affordances; repeated runs",Medium-high,"domain and context distribution bounded"
HOOK-01,When Will The Benchmaxxing Plague End?,Nick Heiner,Conference talk,2026,https://www.youtube.com/watch?v=-npY6XjM8CQ,2026-08-09,"opening problem frame",Medium,"automatic captions; not technical proof"

