source_id,title,source_type,revision_or_date,role,path_or_url
L01,Scope and product definition,local research report,2026-08-08,scope and decision contract,C:/Users/theod/OneDrive/文档/Prework/ale_01_scope_and_product_definition/2026-08-08_decision_report.md
L02,ALE blueprint and version audit,local research report,2026-08-08,construct version metrics and boundaries,C:/Users/theod/OneDrive/文档/Prework/ale_02_ale_blueprint_and_version_audit/2026-08-08_technical_blueprint.md
L03,Public task corpus audit,local research report,2026-08-08,fixed public inventory and evaluator audit,C:/Users/theod/OneDrive/文档/Prework/ale_03_public_task_corpus_audit/REPORT.md
L04,Adjacent benchmark landscape,local research report,2026-08-08,comparative landscape and transferable patterns,C:/Users/theod/OneDrive/文档/Prework/ale_04_adjacent_benchmark_landscape/2026-08-08_landscape_report.md
L04F,Reusable production framework,local research framework,2026-08-08,production design vocabulary and controls,C:/Users/theod/OneDrive/文档/Prework/ale_04_adjacent_benchmark_landscape/reusable_production_framework.md
L05,Portfolio and sampling strategy,local research report,2026-08-08,admission allocation identity and pilot,C:/Users/theod/OneDrive/文档/Prework/ale_05_portfolio_and_sampling_strategy/report.md
V01,When Will The Benchmaxxing Plague End?,YouTube automatic-caption transcript,AI Engineer Worlds Fair 2026,rhetorical hook and design hypotheses,C:/Users/theod/OneDrive/文档/Prework/bilingual_transcript_en_zh.md
P01,Agents' Last Exam,arXiv paper,2606.05405v2,canonical paper evidence,https://arxiv.org/abs/2606.05405v2
G01,Agents' Last Exam repository,GitHub repository,1e615e456de7cef57706680613cb80ee13c7fc76,fixed executable framework and public task surface,https://github.com/rdi-berkeley/agents-last-exam/tree/1e615e456de7cef57706680613cb80ee13c7fc76
H01,Agents' Last Exam paper metadata,Hugging Face paper API,local snapshot retrieved 2026-08-08,paper metadata and linked repository,C:/Users/theod/OneDrive/文档/Prework/ale_03_public_task_corpus_audit/data/hf_paper_api_2606.05405.json
H02,Agents' Last Exam task-card dataset,Hugging Face dataset,a8c1fd174a1f6cfa76526572a2e3ebece1276be2,fixed task-card metadata surface,https://huggingface.co/datasets/agents-last-exam/agents-last-exam/tree/a8c1fd174a1f6cfa76526572a2e3ebece1276be2
C01,AI Engineer World's Fair 2026 schedule,official conference schedule,2026-06-29 to 2026-07-02,hook provenance and speaker affiliation,https://www.ai.engineer/worldsfair/schedule?view=list
M01,AI Agents That Matter,academic paper,2024-07-01,configuration cost reproducibility and evaluation design,https://arxiv.org/abs/2407.01502
M02,BetterBench,academic paper,NeurIPS 2024,benchmark validity and design quality,https://papers.neurips.cc/paper_files/paper/2024/file/26889e8359e7ef8a7f5d77457364ca55-Paper-Datasets_and_Benchmarks_Track.pdf
M03,NIST cheating on AI agent evaluations,government technical analysis,2026,integrity threat model,https://www.nist.gov/caisi/cheating-ai-agent-evaluations
M04,NIST Generative AI Profile,government standard profile,NIST AI 600-1,rights risk and governance,https://doi.org/10.6028/NIST.AI.600-1
M05,METR task-completion time horizons,research program,current through 2026,human comparison and task horizon interpretation,https://metr.org/time-horizons/
